device_id,vehicle_id,vehicle_type,region,install_date,status,issue_type,last_seen,lat,lon,temperature_c,voltage_v,camera_inward_ok,camera_outward_ok
KDC-1026,VH-5026,Innova Zenix,Jakarta,2024-11-03,offline,camera_inward_no_signal,2025-09-25 5:47:00,-6.088486537,106.77968,41.8,12.25,FALSE,TRUE
KDC-1027,VH-5027,Innova Zenix,Tangerang,2024-10-11,healthy,,2025-09-25 5:56:00,-6.200211275,106.8399277,53.9,12.06,TRUE,TRUE
KDC-1028,VH-5028,Calya,Jakarta,2024-06-17,healthy,,2025-09-24 17:40:00,-6.214275949,106.6339517,41.9,11.79,TRUE,TRUE
KDC-1029,VH-5029,Innova Zenix,Jakarta,2025-06-21,healthy,,2025-09-24 0:36:00,-6.29687701,106.9830362,52.9,12.77,TRUE,TRUE
KDC-1030,VH-5030,Calya,Jakarta,2024-01-04,healthy,,2025-09-24 10:13:00,-6.223394351,106.8346078,43.7,12.91,TRUE,TRUE
KDC-1031,VH-5031,BYD M6,Jakarta,2025-01-07,healthy,,2025-09-24 0:31:00,-6.265058261,106.9989592,50.2,13.05,TRUE,TRUE
KDC-1032,VH-5032,Calya,Jakarta,2025-04-29,healthy,,2025-09-24 2:45:00,-6.216867236,106.8544631,48.9,12.92,TRUE,TRUE
KDC-1033,VH-5033,Calya,Depok,2024-04-19,healthy,,2025-09-24 9:04:00,-6.349015071,106.8312499,49.2,12.34,TRUE,TRUE
KDC-1034,VH-5034,Innova Zenix,Tangerang,2024-11-15,healthy,,2025-09-24 19:09:00,-6.215798154,106.9710702,50.5,13.63,TRUE,TRUE
KDC-1035,VH-5035,Calya,Tangerang,2024-07-25,healthy,,2025-09-25 5:53:00,-6.594805428,106.8036976,45.5,12.96,TRUE,TRUE
KDC-1036,VH-5036,Innova Zenix,Depok,2025-09-05,healthy,,2025-09-24 9:07:00,-6.23928113,106.8110973,52.3,10.9,TRUE,TRUE
KDC-1037,VH-5037,BYD M6,Bekasi,2025-02-05,healthy,,2025-09-25 5:50:00,-6.309862844,106.9965323,40.1,12.39,TRUE,TRUE
KDC-1038,VH-5038,Innova Zenix,Jakarta,2025-04-27,healthy,,2025-09-24 4:57:00,-6.275248173,106.8162323,47.7,12.06,TRUE,TRUE
KDC-1039,VH-5039,Innova Zenix,Jakarta,2024-07-15,healthy,,2025-09-24 10:23:00,-6.096227457,106.7669828,43.8,12.48,TRUE,TRUE
KDC-1040,VH-5040,Avanza,Bogor,2024-06-12,healthy,,2025-09-24 5:33:00,-6.229580035,106.9470346,56.2,12.67,TRUE,TRUE
KDC-1041,VH-5041,Calya,Jakarta,2024-11-25,issue,camera_outward_no_signal,2025-09-25 7:08:00,-6.216395368,106.844517,35.9,12.15,TRUE,FALSE
KDC-1042,VH-5042,Innova Zenix,Bogor,2025-02-06,healthy,,2025-09-24 15:13:00,-6.201646848,106.8148262,43.3,11.88,TRUE,TRUE
KDC-1043,VH-5043,Calya,Depok,2024-10-29,issue,low_voltage,2025-09-24 1:28:00,-6.361042668,106.8158166,59.1,12.74,TRUE,TRUE
KDC-1044,VH-5044,Calya,Jakarta,2025-03-16,issue,low_voltage,2025-09-24 1:55:00,-6.251717172,106.8656336,48.7,12.57,TRUE,TRUE
KDC-1045,VH-5045,BYD M6,Jakarta,2024-02-25,issue,dashcam_error,2025-09-24 8:21:00,-6.081128057,106.1498411,35.7,12.49,TRUE,TRUE
KDC-1046,VH-5046,Calya,Tangerang,2024-08-01,healthy,,2025-09-24 18:45:00,-6.223778495,106.8094806,50.5,12.6,TRUE,TRUE
KDC-1047,VH-5047,Calya,Jakarta,2024-07-05,healthy,,2025-09-25 10:41:00,-6.116908974,106.1575386,61.7,12.33,TRUE,TRUE
KDC-1048,VH-5048,Innova Zenix,Bekasi,2024-11-04,healthy,,2025-09-24 14:41:00,-6.20047385,106.8393531,47.4,12.08,TRUE,TRUE
KDC-1049,VH-5049,Nissan Livina,Jakarta,2025-05-06,healthy,,2025-09-24 21:58:00,-6.585227358,106.7760817,51.1,12.54,TRUE,TRUE
KDC-1050,VH-5050,Avanza,Bogor,2024-10-10,healthy,,2025-09-25 0:43:00,-6.22174131,106.6204951,40.3,11.35,TRUE,TRUE
KDC-1051,VH-5051,BYD M6,Jakarta,2025-08-01,healthy,,2025-09-25 4:17:00,-6.3665065,106.8443576,46.4,13.85,TRUE,TRUE
KDC-1052,VH-5052,Calya,Tangerang,2024-03-19,healthy,,2025-09-24 1:46:00,-6.120980268,106.7916647,38.3,11.64,TRUE,TRUE
KDC-1053,VH-5053,Calya,Bogor,2025-08-05,healthy,,2025-09-24 16:41:00,-6.180925488,106.8792513,57.8,11.7,TRUE,TRUE
KDC-1054,VH-5054,BYD M6,Bekasi,2024-10-17,healthy,,2025-09-24 20:53:00,-6.31373075,106.9822563,39.5,13.21,TRUE,TRUE
KDC-1055,VH-5055,Calya,Jakarta,2024-10-28,healthy,,2025-09-24 18:34:00,-6.333413992,106.8671628,48.9,12.69,TRUE,TRUE
KDC-1056,VH-5056,Avanza,Tangerang,2024-02-17,healthy,,2025-09-24 10:46:00,-6.115024369,106.1599938,45.4,12.77,TRUE,TRUE
KDC-1057,VH-5057,Avanza,Jakarta,2024-01-31,healthy,,2025-09-24 15:30:00,-6.30696194,106.9983305,48.9,12.01,TRUE,TRUE
KDC-1058,VH-5058,Calya,Jakarta,2024-08-23,healthy,,2025-09-24 18:07:00,-6.609212524,106.7895242,49.6,11.77,TRUE,TRUE
KDC-1059,VH-5059,Calya,Tangerang,2024-09-11,healthy,,2025-09-25 8:02:00,-6.111282929,106.7859674,44,12.17,TRUE,TRUE
KDC-1060,VH-5060,BYD M6,Tangerang,2025-06-23,issue,camera_inward_no_signal,2025-09-24 2:43:00,-6.595197664,106.7916082,43.8,11.92,FALSE,TRUE
KDC-1061,VH-5061,BYD M6,Jakarta,2025-01-21,healthy,,2025-09-24 15:24:00,-6.109910998,106.7516826,69.7,11.7,TRUE,TRUE
KDC-1062,VH-5062,Nissan Livina,Bekasi,2024-01-24,healthy,,2025-09-25 11:24:00,-6.228957372,106.9859238,31.9,12.21,TRUE,TRUE
KDC-1063,VH-5063,Calya,Jakarta,2025-03-23,healthy,,2025-09-24 10:58:00,-6.2188654,106.8123868,28.6,11.62,TRUE,TRUE
KDC-1064,VH-5064,BYD M6,Tangerang,2024-05-06,healthy,,2025-09-25 7:21:00,-6.119781466,106.7718464,34.7,12.6,TRUE,TRUE
KDC-1065,VH-5065,Calya,Depok,2024-06-30,healthy,,2025-09-24 9:35:00,-6.21079599,106.8363271,25,10.78,TRUE,TRUE
KDC-1066,VH-5066,BYD M6,Jakarta,2024-10-14,healthy,,2025-09-25 5:11:00,-6.202812139,106.9670549,51.2,12.2,TRUE,TRUE
KDC-1067,VH-5067,Calya,Jakarta,2024-07-12,healthy,,2025-09-24 14:13:00,-6.204426791,106.6364753,48.7,11.92,TRUE,TRUE
KDC-1068,VH-5068,BYD M6,Tangerang,2024-04-08,healthy,,2025-09-24 14:43:00,-6.10748396,106.1361751,43,12.37,TRUE,TRUE
KDC-1069,VH-5069,BYD M6,Bogor,2025-07-13,healthy,,2025-09-24 12:46:00,-6.108646551,106.1423463,50.9,13.44,TRUE,TRUE
KDC-1070,VH-5070,Calya,Tangerang,2024-12-24,healthy,,2025-09-24 21:30:00,-6.597721477,106.7912542,39.9,12.2,TRUE,TRUE
KDC-1071,VH-5071,Innova Zenix,Depok,2024-09-02,healthy,,2025-09-25 0:39:00,-6.246345793,107.0009232,48,11.53,TRUE,TRUE
KDC-1072,VH-5072,Calya,Bekasi,2025-05-22,healthy,,2025-09-24 9:26:00,-6.244045582,106.9724351,30.2,12.02,TRUE,TRUE
KDC-1073,VH-5073,Avanza,Jakarta,2024-01-26,offline,dashcam_error,2025-09-24 4:38:00,-6.319064719,106.8569469,48.6,13.14,TRUE,TRUE
KDC-1074,VH-5074,Calya,Jakarta,2025-03-12,healthy,,2025-09-25 6:52:00,-6.226629475,106.9915496,41.1,13.2,TRUE,TRUE
KDC-1075,VH-5075,Nissan Livina,Bogor,2025-09-13,issue,overheat,2025-09-25 7:15:00,-6.22207602,106.9801087,40.4,12.86,TRUE,TRUE
KDC-1076,VH-5076,Calya,Jakarta,2025-04-04,healthy,,2025-09-25 9:58:00,-6.364524258,106.8126763,47.2,11.5,TRUE,TRUE
KDC-1077,VH-5077,Nissan Livina,Jakarta,2024-05-08,healthy,,2025-09-24 18:18:00,-6.346053269,106.8348719,48.4,11.68,TRUE,TRUE
KDC-1078,VH-5078,Innova Zenix,Jakarta,2024-05-27,issue,hardware_fault,2025-09-24 9:52:00,-6.240454376,106.7992754,53.8,13.04,TRUE,TRUE
KDC-1079,VH-5079,Calya,Jakarta,2025-08-03,issue,overheat,2025-09-25 10:10:00,-6.252261297,106.9898125,48.4,13.63,TRUE,TRUE
KDC-1080,VH-5080,Calya,Jakarta,2024-06-15,healthy,,2025-09-25 11:33:00,-6.567690898,106.8031106,38.3,12.39,TRUE,TRUE
KDC-1081,VH-5081,Calya,Tangerang,2024-04-17,healthy,,2025-09-24 5:18:00,-6.23059572,106.8652568,42.3,13.01,TRUE,TRUE
KDC-1082,VH-5082,BYD M6,Depok,2025-07-08,healthy,,2025-09-24 12:08:00,-6.305428244,107.0264043,49.2,13.18,TRUE,TRUE
KDC-1083,VH-5083,Nissan Livina,Depok,2024-07-08,healthy,,2025-09-25 6:26:00,-6.595007797,106.8133047,41.9,12.95,TRUE,TRUE
KDC-1084,VH-5084,Innova Zenix,Bekasi,2025-04-21,healthy,,2025-09-24 5:02:00,-6.199678893,106.8643064,51.3,11.95,TRUE,TRUE
KDC-1085,VH-5085,Calya,Jakarta,2024-05-12,offline,overheat,2025-09-24 6:00:00,-6.242951285,106.9851096,41,12.65,TRUE,TRUE
KDC-1086,VH-5086,BYD M6,Bogor,2025-04-11,healthy,,2025-09-25 4:03:00,-6.194459885,106.8259165,36.5,12.17,TRUE,TRUE
KDC-1087,VH-5087,Calya,Jakarta,2024-07-27,healthy,,2025-09-25 4:41:00,-6.29525483,107.018293,45.8,11.67,TRUE,TRUE
KDC-1088,VH-5088,Innova Zenix,Jakarta,2025-02-15,issue,camera_outward_no_signal,2025-09-24 7:11:00,-6.092554092,106.1589828,45.1,12.19,TRUE,FALSE
KDC-1089,VH-5089,Nissan Livina,Jakarta,2024-02-09,healthy,,2025-09-24 23:26:00,-6.283263324,107.0092562,33.9,13.68,TRUE,TRUE
KDC-1090,VH-5090,Nissan Livina,Bogor,2024-07-31,healthy,,2025-09-24 23:45:00,-6.23028243,106.8566244,55.4,12.97,TRUE,TRUE
KDC-1091,VH-5091,BYD M6,Jakarta,2025-07-28,healthy,,2025-09-24 10:30:00,-6.330817889,106.8192946,35.1,11.39,TRUE,TRUE
KDC-1092,VH-5092,BYD M6,Jakarta,2025-04-29,healthy,,2025-09-24 9:58:00,-6.159875909,106.6392508,57.4,12.41,TRUE,TRUE
KDC-1093,VH-5093,Innova Zenix,Bogor,2024-01-29,healthy,,2025-09-24 11:28:00,-6.198172622,106.823138,46.7,12.25,TRUE,TRUE
KDC-1094,VH-5094,Calya,Tangerang,2024-05-09,issue,overheat,2025-09-24 14:28:00,-6.34214499,106.7971597,37,12.65,TRUE,TRUE
KDC-1095,VH-5095,Nissan Livina,Depok,2024-07-30,healthy,,2025-09-25 8:14:00,-6.572566939,106.7899528,55.5,12.73,TRUE,TRUE
KDC-1096,VH-5096,Calya,Jakarta,2024-03-12,healthy,,2025-09-24 14:05:00,-6.552916719,106.8317412,42.5,13.11,TRUE,TRUE
KDC-1097,VH-5097,Calya,Bekasi,2024-11-04,healthy,,2025-09-25 5:41:00,-6.292711544,106.9743682,40.4,12.44,TRUE,TRUE
KDC-1098,VH-5098,Calya,Jakarta,2024-12-13,healthy,,2025-09-24 21:53:00,-6.223248947,106.8419659,59.5,12.78,TRUE,TRUE
KDC-1099,VH-5099,Calya,Depok,2024-08-14,healthy,,2025-09-25 3:07:00,-6.594958505,106.8056281,61.3,13.43,TRUE,TRUE
KDC-1100,VH-5100,BYD M6,Jakarta,2024-03-22,healthy,,2025-09-25 2:47:00,-6.143758587,106.6572526,46.5,13.17,TRUE,TRUE
KDC-1101,VH-5101,Calya,Bekasi,2024-03-23,healthy,,2025-09-24 14:22:00,-6.308104927,107.0174615,32.2,11.56,TRUE,TRUE
KDC-1102,VH-5102,Calya,Jakarta,2025-08-31,healthy,,2025-09-24 13:48:00,-6.090569115,106.1165981,50.7,12.32,TRUE,TRUE
KDC-1103,VH-5103,BYD M6,Tangerang,2024-10-27,healthy,,2025-09-24 12:01:00,-6.372500942,106.8555458,46.2,12.57,TRUE,TRUE
KDC-1104,VH-5104,Nissan Livina,Bogor,2024-04-08,healthy,,2025-09-24 7:05:00,-6.612604652,106.7916571,56.5,12.29,TRUE,TRUE
KDC-1105,VH-5105,BYD M6,Jakarta,2025-06-21,healthy,,2025-09-24 20:56:00,-6.081322063,106.7729334,44.7,13.36,TRUE,TRUE
KDC-1106,VH-5106,BYD M6,Depok,2024-09-20,healthy,,2025-09-24 9:38:00,-6.145388528,106.773108,47.9,13.81,TRUE,TRUE
KDC-1107,VH-5107,Innova Zenix,Bogor,2024-10-19,healthy,,2025-09-25 0:46:00,-6.204100681,106.8494929,50,13.47,TRUE,TRUE
KDC-1108,VH-5108,BYD M6,Jakarta,2025-07-29,healthy,,2025-09-24 0:19:00,-6.194695026,106.8664538,44.3,13.16,TRUE,TRUE
KDC-1109,VH-5109,BYD M6,Tangerang,2024-10-22,healthy,,2025-09-24 3:32:00,-6.375898033,106.8266935,48.8,12.12,TRUE,TRUE
KDC-1110,VH-5110,Calya,Bogor,2024-04-23,healthy,,2025-09-25 11:39:00,-6.110632136,106.7588123,25,13.17,TRUE,TRUE
KDC-1111,VH-5111,Nissan Livina,Jakarta,2024-04-24,healthy,,2025-09-24 11:04:00,-6.600705457,106.780834,54.2,12.14,TRUE,TRUE
KDC-1112,VH-5112,BYD M6,Jakarta,2025-09-25,healthy,,2025-09-25 0:48:00,-6.253472282,107.0236285,40.8,12.43,TRUE,TRUE
KDC-1113,VH-5113,Calya,Jakarta,2024-11-22,offline,camera_outward_no_signal,2025-09-24 20:45:00,-6.297952503,106.9943577,41,13.17,TRUE,FALSE
KDC-1114,VH-5114,Calya,Bogor,2024-11-04,healthy,,2025-09-24 8:07:00,-6.214219584,106.8128039,50.7,12.47,TRUE,TRUE
KDC-1115,VH-5115,Calya,Bogor,2025-06-06,healthy,,2025-09-25 0:09:00,-6.283798909,106.9605197,45.1,12.64,TRUE,TRUE
KDC-1116,VH-5116,Nissan Livina,Jakarta,2024-08-10,healthy,,2025-09-24 1:02:00,-6.086376502,106.7726147,39.3,12.16,TRUE,TRUE
KDC-1117,VH-5117,Calya,Jakarta,2025-08-26,healthy,,2025-09-25 5:34:00,-6.284042934,106.98999,35.5,11.69,TRUE,TRUE
KDC-1118,VH-5118,Innova Zenix,Jakarta,2024-07-10,healthy,,2025-09-24 23:50:00,-6.22985427,106.8694896,41.7,12.86,TRUE,TRUE
KDC-1119,VH-5119,Calya,Bogor,2024-03-11,healthy,,2025-09-24 9:25:00,-6.186176534,106.8378038,45.4,12.61,TRUE,TRUE
KDC-1120,VH-5120,Nissan Livina,Tangerang,2025-09-15,healthy,,2025-09-24 21:22:00,-6.190532798,106.816231,49.7,13.13,TRUE,TRUE
KDC-1121,VH-5121,BYD M6,Bogor,2024-10-16,healthy,,2025-09-24 3:43:00,-6.608004364,106.8059793,48.6,13.37,TRUE,TRUE
KDC-1122,VH-5122,Innova Zenix,Bekasi,2024-08-24,healthy,,2025-09-24 15:18:00,-6.297929714,106.9656221,45.8,14.11,TRUE,TRUE
KDC-1123,VH-5123,BYD M6,Jakarta,2024-04-01,issue,low_voltage,2025-09-25 6:40:00,-6.241529297,106.8636271,45.6,11.48,TRUE,TRUE
KDC-1124,VH-5124,Calya,Jakarta,2024-07-28,healthy,,2025-09-25 8:26:00,-6.189044226,106.853373,49.4,12.08,TRUE,TRUE
KDC-1125,VH-5125,Calya,Tangerang,2024-03-03,healthy,,2025-09-24 0:30:00,-6.20006434,106.8456058,45.5,13.12,TRUE,TRUE
KDC-1126,VH-5126,Nissan Livina,Jakarta,2025-04-07,healthy,,2025-09-25 8:38:00,-6.361212656,106.7818739,48.9,12.69,TRUE,TRUE
KDC-1127,VH-5127,Calya,Bekasi,2024-06-01,offline,low_voltage,2025-09-25 11:37:00,-6.152541931,106.6409901,50.9,13.68,TRUE,TRUE
KDC-1128,VH-5128,Nissan Livina,Jakarta,2024-12-28,healthy,,2025-09-25 0:57:00,-6.608502205,106.783726,50.5,12.21,TRUE,TRUE
KDC-1129,VH-5129,Calya,Bogor,2024-01-30,healthy,,2025-09-24 4:33:00,-6.352270069,106.8401888,42.8,11.79,TRUE,TRUE
KDC-1130,VH-5130,Nissan Livina,Bekasi,2025-02-16,healthy,,2025-09-24 10:16:00,-6.126063281,106.7723586,43.4,13.17,TRUE,TRUE
KDC-1131,VH-5131,Avanza,Bogor,2024-02-26,issue,dashcam_error,2025-09-24 10:47:00,-6.201371967,106.6216803,53.2,14.32,TRUE,TRUE
KDC-1132,VH-5132,Calya,Bekasi,2024-07-21,issue,overheat,2025-09-24 16:09:00,-6.085896972,106.1677063,50.4,12.38,TRUE,TRUE
KDC-1133,VH-5133,Calya,Jakarta,2025-07-27,healthy,,2025-09-24 7:32:00,-6.223403325,106.787006,42.9,13.46,TRUE,TRUE
KDC-1134,VH-5134,Calya,Jakarta,2025-07-28,healthy,,2025-09-24 10:12:00,-6.084626181,106.1673348,49.9,12.63,TRUE,TRUE
KDC-1135,VH-5135,BYD M6,Jakarta,2025-07-10,healthy,,2025-09-24 4:53:00,-6.173823708,106.8367186,48.4,13.62,TRUE,TRUE
KDC-1136,VH-5136,Calya,Jakarta,2025-09-02,healthy,,2025-09-25 4:22:00,-6.123204738,106.1462581,44.9,12.61,TRUE,TRUE
KDC-1137,VH-5137,Innova Zenix,Jakarta,2025-05-13,healthy,,2025-09-25 10:57:00,-6.323781124,106.9899901,42,12.27,TRUE,TRUE
KDC-1138,VH-5138,Calya,Bekasi,2024-11-27,healthy,,2025-09-24 8:27:00,-6.213892024,106.817665,57,12.98,TRUE,TRUE
KDC-1139,VH-5139,Nissan Livina,Depok,2024-09-05,healthy,,2025-09-25 9:52:00,-6.196663052,106.7856693,40.6,12.86,TRUE,TRUE
KDC-1140,VH-5140,Calya,Bogor,2025-04-20,healthy,,2025-09-24 8:55:00,-6.158945405,106.6680073,49.2,12.21,TRUE,TRUE
KDC-1141,VH-5141,Nissan Livina,Bekasi,2024-04-15,healthy,,2025-09-25 11:00:00,-6.168299433,106.6569256,40.6,12.9,TRUE,TRUE
KDC-1142,VH-5142,Calya,Jakarta,2025-04-18,healthy,,2025-09-24 0:37:00,-6.228635624,106.9772647,48.1,11.21,TRUE,TRUE
KDC-1143,VH-5143,Calya,Jakarta,2024-07-11,offline,dashcam_error,2025-09-24 17:46:00,-6.363884778,106.8146878,26,13.37,TRUE,TRUE
KDC-1144,VH-5144,Innova Zenix,Depok,2024-04-26,issue,hardware_fault,2025-09-24 16:43:00,-6.288717609,106.9926953,34.9,13.06,TRUE,TRUE
KDC-1145,VH-5145,Calya,Tangerang,2024-01-04,healthy,,2025-09-24 12:50:00,-6.277785287,106.9996821,56,12.75,TRUE,TRUE
KDC-1146,VH-5146,Nissan Livina,Jakarta,2024-08-06,issue,camera_outward_no_signal,2025-09-24 6:46:00,-6.211987338,106.9734429,41.2,12.77,TRUE,FALSE
KDC-1147,VH-5147,Calya,Tangerang,2024-01-23,healthy,,2025-09-25 6:20:00,-6.106399316,106.736754,51.8,13.3,TRUE,TRUE
KDC-1148,VH-5148,Innova Zenix,Depok,2024-07-14,healthy,,2025-09-24 15:09:00,-6.588128889,106.8149837,47.1,12.89,TRUE,TRUE
KDC-1149,VH-5149,Calya,Depok,2024-02-12,issue,overheat,2025-09-25 0:13:00,-6.192983284,106.8320459,61.8,11.62,TRUE,TRUE
KDC-1150,VH-5150,Calya,Bogor,2025-06-24,healthy,,2025-09-24 8:33:00,-6.171877101,106.6451354,49.9,12.92,TRUE,TRUE
KDC-1151,VH-5151,Innova Zenix,Depok,2025-08-01,healthy,,2025-09-25 1:15:00,-6.222338479,106.8508273,44.3,12,TRUE,TRUE
KDC-1152,VH-5152,Nissan Livina,Jakarta,2025-02-24,healthy,,2025-09-25 8:39:00,-6.194926636,106.6330783,48,12.72,TRUE,TRUE
KDC-1153,VH-5153,Calya,Jakarta,2025-08-14,healthy,,2025-09-24 17:00:00,-6.226217218,106.7975281,41.4,11.78,TRUE,TRUE
KDC-1154,VH-5154,Calya,Bekasi,2024-10-14,healthy,,2025-09-24 11:00:00,-6.11179531,106.7896753,40.6,12.81,TRUE,TRUE
KDC-1155,VH-5155,Calya,Bekasi,2025-03-30,healthy,,2025-09-24 11:39:00,-6.098443054,106.1828711,44.3,12.9,TRUE,TRUE
KDC-1156,VH-5156,Nissan Livina,Jakarta,2025-08-11,issue,dashcam_error,2025-09-24 23:11:00,-6.154684242,106.6261126,36.3,11.67,TRUE,TRUE
KDC-1157,VH-5157,Calya,Jakarta,2024-08-21,offline,overheat,2025-09-24 19:23:00,-6.223623045,106.9853857,43.3,13.17,TRUE,TRUE
KDC-1158,VH-5158,Innova Zenix,Bogor,2024-07-19,healthy,,2025-09-24 5:59:00,-6.218444171,106.8394912,30.1,12.16,TRUE,TRUE
KDC-1159,VH-5159,Nissan Livina,Tangerang,2024-07-02,healthy,,2025-09-24 23:34:00,-6.29407287,106.9586521,53.6,12.4,TRUE,TRUE
KDC-1160,VH-5160,Calya,Jakarta,2024-12-17,healthy,,2025-09-24 21:35:00,-6.188203893,106.8570014,41.5,12.78,TRUE,TRUE
KDC-1161,VH-5161,Calya,Bekasi,2024-10-21,healthy,,2025-09-24 4:30:00,-6.222941983,106.8055562,54.4,13.58,TRUE,TRUE
KDC-1162,VH-5162,BYD M6,Jakarta,2025-06-05,healthy,,2025-09-24 18:55:00,-6.182431381,106.8637942,42.5,12.47,TRUE,TRUE
KDC-1163,VH-5163,Calya,Depok,2024-02-10,healthy,,2025-09-24 23:40:00,-6.21643734,106.8154586,54.2,13.33,TRUE,TRUE
KDC-1164,VH-5164,Innova Zenix,Depok,2024-12-26,offline,overheat,2025-09-24 16:29:00,-6.383509838,106.791438,54.9,11.98,TRUE,TRUE
KDC-1165,VH-5165,Calya,Tangerang,2024-09-13,healthy,,2025-09-25 0:21:00,-6.251660324,107.002499,41.6,11.37,TRUE,TRUE
KDC-1166,VH-5166,Calya,Tangerang,2024-08-27,healthy,,2025-09-24 16:18:00,-6.198842055,106.8420864,49,12.77,TRUE,TRUE
KDC-1167,VH-5167,Innova Zenix,Jakarta,2025-07-08,healthy,,2025-09-24 18:21:00,-6.24870815,106.9915544,43.3,12.4,TRUE,TRUE
KDC-1168,VH-5168,Calya,Jakarta,2025-03-31,healthy,,2025-09-24 3:54:00,-6.220744124,106.9653798,49.4,12.28,TRUE,TRUE
KDC-1169,VH-5169,BYD M6,Bogor,2024-07-11,healthy,,2025-09-24 4:42:00,-6.356941243,106.8563144,38.2,12.56,TRUE,TRUE
KDC-1170,VH-5170,Calya,Bekasi,2024-04-08,healthy,,2025-09-24 14:45:00,-6.321082557,106.9786999,42.7,13.47,TRUE,TRUE
